algoritmo,ensaio,densidade,nvertices,tempo,memoria
prim,4,0.6,250,0.112771,85.85
prim,5,0.6,250,0.113267,85.77
prim,6,0.6,250,0.106558,85.97
prim,7,0.6,250,0.110734,85.98
prim,8,0.6,250,0.117667,86.16
prim,9,0.6,250,0.124683,85.75
prim,10,0.6,250,0.112944,86.08
prim,1,0.6,500,0.286394,106.86
prim,2,0.6,500,0.297683,106.69
prim,3,0.6,500,0.300205,106.95
prim,4,0.6,500,0.281095,106.90
prim,5,0.6,500,0.289037,106.86
prim,6,0.6,500,0.288635,106.82
prim,7,0.6,500,0.286628,106.98
prim,8,0.6,500,0.290481,107.12
prim,9,0.6,500,0.307965,106.70
prim,10,0.6,500,0.279680,106.69
prim,1,0.9,250,0.185284,89.69
prim,2,0.9,250,0.179702,89.48
prim,3,0.9,250,0.186387,89.38
prim,4,0.9,250,0.192357,89.62
prim,5,0.9,250,0.189884,89.43
prim,6,0.9,250,0.181955,89.80
prim,7,0.9,250,0.177877,89.41
prim,8,0.9,250,0.181298,89.67
prim,9,0.9,250,0.187565,89.65
prim,10,0.9,250,0.182208,89.44
prim,1,0.9,500,0.478420,122.39
prim,2,0.9,500,0.446115,122.75
prim,3,0.9,500,0.461962,122.79
prim,4,0.9,500,0.445611,122.51
prim,5,0.9,500,0.486415,122.52
prim,6,0.9,500,0.457458,122.22
prim,7,0.9,500,0.463289,122.25
prim,8,0.9,500,0.451796,122.55
prim,9,0.9,500,0.469509,122.53
prim,10,0.9,500,0.464923,122.38
prim,1,1,250,0.193758,90.07
prim,2,1,250,0.217963,90.45
prim,3,1,250,0.207489,90.48
prim,4,1,250,0.194322,90.16
prim,5,1,250,0.210140,90.26
prim,6,1,250,0.214836,90.05
prim,7,1,250,0.196473,90.45
prim,8,1,250,0.206279,90.15
prim,9,1,250,0.213419,90.09
prim,10,1,250,0.209745,90.37
prim,1,1,500,0.541608,125.89
prim,2,1,500,0.547234,125.46
prim,3,1,500,0.533640,125.66
prim,4,1,500,0.491851,125.41
prim,5,1,500,0.506418,125.78
prim,6,1,500,0.531654,125.78
prim,7,1,500,0.535193,125.55
prim,8,1,500,0.522294,125.91
prim,9,1,500,0.544862,125.68
prim,10,1,500,0.524377,125.43
